Index,Act,ActName,Chapter,ChapterName,Position,POV,Setting,Scenes,Completion,Action,Drama,Theme,Energy,Gravity,Prominence,CutRisk,Summary,Blurb,Excerpt
17,2,Act Two: Summer,17,Onward To Chaos,18723.0,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-05-26,4,70,1.0,5.0,7.0,13.0,13.821153892518739,-1.5,68.51046122916522,Katiya visits Bertram in the hospital (promises Hillfar); market duty goes sideways; she chases and collars Rayna (Ahkvasan half-blood); Jullian downplays her leap; Cody leaves a treat.,Katiya chases a thief and a ghost from her past&mdash;while promises tug her toward tomorrow.,"I refuse to let in a chance for anything to happen, and that's why I rise early. Earlier than the knocker that comes to wake me. Earlier than the sun: early enough that the morning…"
18,2,Act Two: Summer,18,Civillian Combat,20756.0,Cody,Valenseia | Gaffesend | Gaffe Royal Base | 2026-06-27,2,70,6.0,6.0,7.0,19.0,33.699640764761185,5.0,53.557255704531116,"Cody&apos;s volunteer training day: Katiya teases, his mistake catches Aldrin&apos;s eye; later he chooses friendship over victory in a challenge&mdash;character beat.",A training mishap puts Cody on someone important&apos;s radar for all the wrong reasons.,"It came scrawled in messy letters that weren't from my world, written on a piece of vellum fresh with ink. It was only four words that would send a chill down any man's spine: espe…"
19,2,Act Two: Summer,19,Warrior Business,22868.0,Katiya,Colorado | Evergreen Estates | Cody&apos;s House | 2026-06-28,3,70,1.0,7.0,8.0,16.0,32.25787786001881,-0.75,51.81263083177663,"Open house at Cody&apos;s work: meet Reed & Kei; Cody geeks out, Katiya meets Alan & Kim; they overhear Reed/Kei on Cody missing from the &quot;Future Talent&quot; wall.","Open house at work: new faces, old history, and a wall Cody isn&apos;t on.",And so I sell him a lie.
20,2,Act Two: Summer,20,Domestic Relations,23867.0,"Cody, Katiya",Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-06-28,4,70,1.0,7.0,8.0,16.0,35.71184029703208,-2.5,52.035091074855444,Katiya engineers a Cody&mdash;Kei date; in parallel she and Jullian go to hot springs and bristle; Cody&apos;s date feels off and foggy&mdash;he insists he&apos;s &quot;fine.&quot;,"Double dates, mixed signals, and the uneasy question: are we still who we were?","She waits until I'm fully seated in the car to tell me the news. And when she does, I feel both relieved and horrified at the same time — like the wife that tells her husband he's…"
21,2,Act Two: Summer,21,Foreign Affairs,25004.0,"Katiya, Cody",Valenseia | Holmfirth | Firtholm Hot Springs | 2026-06-29,6,70,3.0,8.0,8.0,19.0,47.17650746196688,0.0,44.63432558277919,Katiya extracts an uncomfortable truth from Jullian; intercut meltdown date beats (both couples misfire); Cody & Kei hook up but it lands as empty.,Cold water and hard truths&mdash;two relationships strain to the breaking point.,"I grit my teeth and continue to descend into the cold tub. My body aches, but not yet from the freezing water. It's from the pain of how heavy-handed those backwater Ahkvasans are…"
22,2,Act Two: Summer,22,Losing To Fear,26137.0,"Katiya, Cody",Valenseia | Gaffesend | Gaffe Royal Base | 2026-07-07,3,70,5.0,7.0,8.0,20.0,55.78658051450201,-0.5,41.40528363797878,"Katiya passes core exams but shoots poorly; Aryn is unflappable; Cody and Reed clash about what a Level-1 is; Katiya insists on leading the next team exam, feeling off her game.","Tests expose strengths, flaws, and a calm rival who never seems to miss.",Inspired. Soulful. And as unpredictable as possible.
23,2,Act Two: Summer,23,Failing To Launch,27591.0,"Cody, Katiya",Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-07-07,2,70,7.0,8.0,9.0,24.0,69.55806832702461,3.75,23.29387712598317,"Cody presents and gets hammered; Reed&apos;s allies redirect the room; Katiya&apos;s plan withers, Bertram is &quot;killed&quot; in exercise, she barges the opposing house&mdash;bad optics.",A tough room for Cody. A tougher match for Katiya. Plans buckle under pressure.,"My presentation begins after the seven of them settle into the semicircle of office chairs, searching for the words to begin as my body blocks the blinding glow of the projector's…"
24,2,Act Two: Summer,24,Friendly Fire,29725.0,"Cody, Katiya",Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-07-07,2,70,5.0,9.0,9.0,23.0,71.4473081466837,0.25,25.906453552992588,"Reed&apos;s presentation wins; Cody&apos;s mild critique is spun as jealousy and he snaps publicly; Katiya loses to Aryn, is told she&apos;s below the line, and learns her family&apos;s already in Gaffesend.",One wins the crowd; the other loses control. Lines are drawn on both sides.,"Reed's entirely prepared as he advances towards his last slide. In the lower corner, it reads 20 OF 20: even with a custom progress bar to show the stages of his presentation."
25,2,Act Two: Summer,25,A House Divided,31443.0,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-07-07,2,70,1.0,9.0,9.0,19.0,66.0038093401162,-5.75,34.13514484206679,Cody spirals home; Katiya waits on his couch; their mutual failures ignite a bitter fight&mdash;door slammed shut again.,"Back at the house, two people who need comfort get conflict instead.",Sometimes this numbness can be a blessing in the same way that it's a curse.
26,3,Act Three: Fall,26,Cold War,32972.0,Cody,Unspecified | Unspecified | Unspecified | 2015-10-03,3,70,9.0,9.0,10.0,28.0,87.86459965764158,6.25,4.937993441675335,"Jackson&apos;s &quot;Operation Bluewings&quot; flashback: drone crash, mission abort, and his sacrificial call to Overwatch in the storm.","Years earlier, in a storm of ice and static, a mission hangs by a thread.",It's the cold snap that brings him back again.
27,3,Act Three: Fall,27,Warm Solitude,33825.0,Katiya,Valenseia | Hillfar | The Shortwall | 2005-08-23,3,70,5.0,9.0,10.0,24.0,78.56402343467465,1.0,14.097928580991907,Katiya&apos;s origin trauma: childhood game ? treehouse collapse ? Raph&apos;s death; she hides in a corpse pit; the Chymaeran lie brands her forever.,"Long before today, a childhood dare turned into a scar that never closed.","""Why is it so hard for you to let go?"" The question comes from thirty feet below."
28,3,Act Three: Fall,28,Prometheus,34422.0,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-11-25,3,70,6.0,7.0,8.0,21.0,66.6962412903537,-2.0,38.16260224802199,"Months later: Naveen notes Cody&apos;s improvement but deeper ennui; company lunch where Reed is promoted; Reed asks Cody to help fix his flawed prototype (they bond); that night Cody, riding the high, uses Essence as flux&mdash;batteries &quot;fire&quot; and spark his next idea.","Small progress, big disappointment&mdash;until a late-night spark hints at a dangerous idea.","""I want you to know that you've improved a lot since the incident last quarter,"" Nav says. He scrolls through notes on the tablet's touchscreen as he sits across from me in the din…"
29,3,Act Three: Fall,29,Once Lovers,35299.0,"Katiya, Cody",Valenseia | Gaffesend | Hilde Cottage | 2026-11-26,4,70,7.0,8.0,9.0,24.0,68.88010222532972,2.75,24.566294121522393,,"Family news brightens the table, but Katiya&apos;s hands won&apos;t stop shaking. A walk with Erik ends at a tavern door&mdash;and a choice she should&apos;ve made months ago.","""Stop. Please,"" I beg them, rolling my eyes as I sit across the table. The tremor in my hand's been going for about a month now, so I rest my wrist on table between bites of stew,…"
30,3,Act Three: Fall,30,Cold Sweat,35870.25,"Katiya, Cody",Valenseia | Gaffesend | Lake Garrison | 2026-11-27,4,70,1.0,7.0,8.0,16.0,43.57258239506232,-4.25,50.35418778570473,,New alliances form while an ominous email threatens Cody&apos;s career.,"They say to never challenge an Ahkvasan to a foot race: you might be faster, but you still won't get there in time."
31,3,Act Three: Fall,31,Heating Up,37426.25,"Katiya, Cody",Valenseia | Gaffesend | Katiya&apos;s House | 2026-11-28,3,70,7.0,8.0,9.0,24.0,56.75916773151386,6.25,26.372961680767272,,"A collapse, a break-in, and a rescue drag Katiya and Cody violently back together.",It was a walk so it doesn't count. And it doesn't matter if I've worked a long day questing.
32,3,Act Three: Fall,32,Fantastic Modernity,38576.25,"Katiya, Cody",Colorado | Evergreen Estates | Cody&apos;s House | 2026-11-29,3,70,2.0,5.0,5.0,12.0,25.467608554138437,-7.75,85.60260717845401,,"Katiya&apos;s first peaceful sleep leads straight into chaotic, sword-filled &quot;fantasy&quot; tourism on Earth.","Even in another world, I can't escape the same dream. The only difference is that sleep comes faster on a bed that's made of clouds, instead of one made from horsehair and feathers…"
33,3,Act Three: Fall,33,Modern Fantasy,39417.25,"Cody, Katiya",Colorado | Shaleborough | Rocky Mountain National Forest | 2026-11-29,3,70,4.0,7.0,8.0,19.0,48.87142271620416,-2.25,46.10634431842091,,Tournament glory and a stolen moment of closeness are shattered with sudden news from the north.,"The first half of the morning goes on without much of a hitch. That was, until some toddler grabbed Rayna's tail before screaming KITTY! and launched her almost twice as high as a…"
34,3,Act Three: Fall,34,Professional Death,39988.5,Cody,Colorado | Evergreen Estates | Navidson-Monroe Aerospace | 2026-11-30,3,70,1.0,9.0,10.0,20.0,62.08067121537238,-1.5,23.666350013919974,,"At work, a meeting becomes a reckoning. Someone steps forward, and the cost is real.","When I rose from four hours of sleep, I found that same feeling of dread I found in college when the world finally caught up with me, when I remembered it was a heavy day of finals…"
35,3,Act Three: Fall,35,Physical Demise,41760.5,Katiya,Valenseia | Gaffesend | Guards&apos; Quarter | 2026-11-30,3,70,9.0,10.0,10.0,29.0,93.28639969139523,7.5,1.3717354483186628,,"Desperation pulls Katiya beyond the walls, where duty, grief, and old ghosts converge.","It's a new feeling that finds me when I'm rushing through the open streets, one I felt the day before when I heard Cody's voice cheering my name. It's an energy that races my circu…"
36,3,Act Three: Fall,36,Holding On,43153.5,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-11-30,3,70,6.0,10.0,10.0,26.0,86.4942016057092,4.0,7.73397343942263,,Kindness and rediscovery of an old passion dare Cody to care again.,"The drawing reads REED because he forgets to use his last name. It was checked by SAKURASHIMA, then approved by PRADESH, and now the chain of custody ends in my greasy hands, putti…"
37,3,Act Three: Fall,37,Letting Go,44271.5,"Katiya, Cody",Valenseia | Hillfar | Unspecified | 2026-12-01,4,70,1.0,10.0,10.0,21.0,70.14104202329001,-2.75,21.409427751106698,,"Shame, buried memories, and unexpected visitors push both worlds toward a new kind of war.","""She was trying to save him,"" Jullian says. ""Bertram left and we did nothing — but it was Katiya that was braver than all of us!"""
38,4,Act Four: Winter,38,Bottoming Out,45396.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-12-08,2,70,1.0,8.0,9.0,18.0,54.8834293704945,-3.25,36.48924762032273,"After reaching the ugliest versions of themselves, Cody and Katiya finally stop performing strength and let each other see the damage. Cody interrupts his own collapse long enough to comfort Katiya after Bertram&apos;s death, and Katiya&apos;s tribunal summons turns grief into a hard deadline. By the end of the chapter, despair has not lifted&mdash;but it has been given direction.","At rock bottom, the doorway stops being an escape and becomes a lifeline.","In the long, dragging years after college, I thought that all I could ever want was to waste my life as efficiently as possible."
39,4,Act Four: Winter,39,Crossing Over,46341.5,"Cody, Katiya",Valenseia | Gaffesend | Katiya&apos;s House,3,70,6.0,7.0,9.0,22.0,59.98794512621453,2.75,28.406968910650793,"The private crisis inside Katiya&apos;s house becomes part of a much larger war when Titus and Sylvia force their way into the story. Cody is thrown into a terrifying first encounter with people from a harsher world, Katiya begins to understand the scale of what is coming, and Cody&apos;s attempt to regroup turns into a brutal training date that recommits him to fighting for a future instead of grieving one he already lost.",New arrivals from a dying world turn private grief into a larger war.,"My own snore awakes me though Katiya is still fast asleep. I check my smartwatch: no texts show in the feed yet, but the digitally-analog hands read 3:40."
40,4,Act Four: Winter,40,Reaching Up,47302.5,"Katiya, Cody",Colorado | Hearthland Ridge | Unspecified,3,70,2.0,6.0,8.0,16.0,44.24138679268028,-3.75,49.57552380527344,"The planning phase begins in earnest as Cody&apos;s world and Katiya&apos;s world stop operating like separate emotional shelters. Over coffee, cheap drinks, and overlapping stories, the group starts building a shared strategy. Cody&apos;s abandoned project stops being a joke, and Katiya&apos;s increasingly unstable home life collides with the possibility that her estranged allies might actually stand with her.","Plans form over caffeine, alcohol, and people who finally start acting like a team.","""This is a candy store,"" I say. ""We can't get distracted by sweets! We're making our plan of attack."""
41,4,Act Four: Winter,41,Annealment,48418.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House,3,40,6.0,7.0,9.0,22.0,57.75248933143672,3.75,28.392908678622952,"Action replaces vague intention. Cody begins rebuilding JAX with help instead of shame, while Katiya tries to hold together a house full of secrets, fugitives, and divided loyalties. Both storylines harden under pressure: Cody through labor, Katiya through deception and risk.","Old metal, old wounds, and fragile trust all go back into the fire.","The file's the same as it was half a decade ago, before I had any understanding of version control, zipped in a folder titled REVISION_47 at half a gigabyte in size. The mates are…"
42,4,Act Four: Winter,42,Eutectic Point,49255.5,"Katiya, Cody",Unknown | Unknown | Unspecified,3,,1.0,7.0,9.0,17.0,45.393832726571354,-1.5,38.87368105630256,"The story widens. Katiya is introduced to Aliaki, Jade, and the deeper political reality behind the coming attack, while Cody is invited deeper into Reed&apos;s privileged world and closer to a genuine second chance at proving himself. Both protagonists are handed tools and warnings they only partly understand.",New allies arrive with impossible answers&mdash;and worse questions.,"Without entitlement to fast or slow, I'm in a halfway home between two states of motion. It feels like these dilations of time don't even encompass my whole body anymore: my body f…"
43,4,Act Four: Winter,43,Harsh Noise,50174.5,"Cody, Katiya",Colorado | Hearthland Ridge | Dietz Park Estates,3,,1.0,8.0,9.0,18.0,47.700653374159174,-0.75,37.14263187311788,"Hope starts making noise. Cody begins fabrication in Reed&apos;s family machine space and gains the first meaningful encouragement he has felt from adults tied to the aerospace legacy he still wants. Meanwhile, Katiya&apos;s alliance nearly implodes in a misunderstanding fueled by power and distrust, forcing her to stabilize a group that could either save Gaffesend or tear itself apart.",One side machines hope into metal; the other fights to keep hope from tearing itself apart.,"Reed's father follows us as we descend the stairs, trying hard not to hover though his curiosity gets the best of him. As we pass aerospace merch from all the way back to Reed's gr…"
44,4,Act Four: Winter,44,In Loving Memory,51349.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House,3,,1.0,8.0,9.0,18.0,48.24119391469971,-0.5,36.6642652062387,"Grief finally becomes communal instead of private. Cody helps Aryn and Rayna speak through loss by talking about Jackson, Katiya returns to a quieter house and finds evidence of the care he has extended to others, and the chapter ends with intimacy growing out of exhaustion, trust, and shared mourning.",Grief moves across worlds&mdash;and intimacy arrives in its wake.,"I think I lose it for a second, but they're patient. ""It started before the news even came. 'High risk missions,' he said, and he even seemed excited. Like he was bragging."""
45,4,Act Four: Winter,45,In Future Grief,52236.5,"Cody, Katiya",Colorado | Hearthland Ridge | Dunsmore Family Home,3,,1.0,8.0,9.0,18.0,51.35617330086553,-1.25,36.05354619198508,"Both protagonists face family systems that love them but do not really understand what they are choosing. Cody confronts his parents&apos; fear, finances, and assumptions about his future, while Katiya tells her family the truth about the danger she still intends to face. Jackson&apos;s name and memory become fused to Cody&apos;s project, turning invention into memorial.","Home offers no refuge&mdash;only love, pressure, and the cost of choosing your path.","I find the long concrete slab holds unfamiliar furniture when I climb the steps: it took ages for them to discard the old wrought-iron furniture, with cushions that held on for ten…"
46,4,Act Four: Winter,46,Close Quarters,52807.75,Katiya,Valenseia | Gaffesend | Market Street,4,,1.0,10.0,10.0,21.0,59.56843551848012,2.75,20.58816228772046,"The quiet before the storm turns out not to be quiet at all. Cody and Katiya field-test the prototype and accidentally unleash terrifying power, then return home to find official pressure closing around Katiya&apos;s life. Their last stretch of peace becomes a vow, a confession, and an act of choosing each other before the worlds move to tear them apart.","On the last quiet day, love and danger finally stop pretending they&apos;re separate.",The only option we have is to walk.
47,4,Act Four: Winter,47,Ground Control,53379.0,"Cody, Katiya",Unspecified | Unspecified | Unspecified,4,,2.0,8.0,10.0,20.0,60.17503676736504,-1.0,23.99963021759782,"Cody and Katiya each step into what should be their final chance to claim the futures they want, only to be immediately restrained by the institutions they have spent the story trying to survive. Cody tries to reach the Aspen conference room before HR can bury him, while Katiya is taken into custody before her tribunal and shut away from the threat she knows is coming. By the end of the chapter, both are trapped inside systems that mistake control for safety.","On the day everything might change, both worlds decide it&apos;s safer to lock their problems down.","My keys slide out of the ignition, and after a long, sleepless night, I realize I'm sitting in Navidson-Monroe's dirt lot, seventeen minutes early to clocking in."
48,4,Act Four: Winter,48,Metanoia,53950.25,"Cody, Katiya",Unspecified | Unspecified | Unspecified,5,,2.0,7.0,8.0,17.0,58.064469465004684,-7.25,47.033669325274644,"Both protagonists fight for one clean chance to be heard. Cody&apos;s confession turns his firing into a political problem inside Navidson-Monroe, while Katiya persuades Aryn that the truth matters more than procedure and turns imprisonment into a joint push toward Aldrin. The chapter tests what they have actually learned: not how to escape pressure, but how to move through it without lying to themselves.",Some doors open because you&apos;re invited. The important ones never do.,"Cody is pulled into a glass conference room where HR tries to reduce him to a clean termination case, with Reed present as witness. Cody refuses to sign, clears his father, and for…"
49,4,Act Four: Winter,49,Paragate,54521.5,"Katiya, Cody",Unspecified | Unspecified | Unspecified,5,,9.0,9.0,10.0,28.0,91.7949707066567,4.25,5.1995826134265055,"The true conflict of Paragate begins as witness replaces doubt and preparation replaces denial. Aldrin sees enough to gamble on Katiya, while Cody leaves Navidson-Monroe uncertain of what his honesty has bought him but sure he is not done yet. Both protagonists step fully into the roles they have been resisting, and the story pivots from argument into mobilization.","Once the truth is seen with open eyes, the only question left is whether anyone can move fast enough.","Katiya brings Aldrin face-to-face with the reality of the approaching threat, and Jade and Aliaki reinforce what she has forced him to witness. When the Royal Knights arrive, Aldri…"
50,4,Act Four: Winter,50,Knightfall,55092.75,"Cody, Katiya",Unspecified | Unspecified | Unspecified,4,,8.0,10.0,10.0,28.0,93.62731152204837,5.75,2.9387755102040813,"The battle turns when Cody is the first to notice movement across the frozen lake and realizes the defense is pointed the wrong way. As the first line is held by powers and allies beyond the core cast, the real threat reveals itself as a coordinated strike against the city itself. Katiya is forced into the exact shape of the nightmare that made her who she is, and Cody refuses to leave her to face it entirely alone.",Winter arrives with teeth just when the defenses start to hold. ,"Watching the drone feed, Cody spots enemy figures crossing the lake and realizes the defenses are no longer where they need to be. When comms fail, he leaves the drone idling and r…"
51,4,Act Four: Winter,51,Daybreak,55664.0,Katiya,Unspecified | Unspecified | Unspecified,3,,10.0,10.0,10.0,30.0,93.36692624828218,7.75,1.0920566914675933,"Katiya confronts the living shape of her oldest trauma and proves that what she has learned is stronger than fear. As Nhytyx recreates the emotional architecture of the nightmare that once broke her, Katiya saves her family through action instead of paralysis, while Cody disobeys her only enough to make one small but crucial difference. At dawn, Katiya completes her arc not just by surviving the past, but by replacing it with a new public truth.","At the edge of dawn, courage means returning to the exact place fear was born.",Katiya reaches the burning district and finds Nhytyx leading the same kind of horror that defined her childhood trauma: except Endogeny is present (Firebrand). For one terrible bea…
52,5,Epilogue,52,Parasmagate,56235.25,Cody,Unspecified | Unspecified | Unspecified,1,,1.0,6.0,7.0,14.0,45.45458929045013,-11.666666666666668,64.80662293033429,"The epilogue gives Paragate its emotional closure before leaving one quiet fracture open for the future. Cody and Katiya emerge from the battle changed, no longer using each other&apos;s worlds as refuge from their own lives, and their relationship finally rests on chosen commitment instead of mutual escape.","On the western tower, two silhouettes face what&apos;s next.","Cody and Katiya announce that they'll both be able to keep their respective homes, and their relationship will continue."
53,5,Epilogue,53,Threaded Echoes,56806.5,Default,Unspecified | Unspecified | Unspecified,1,,2.0,8.0,9.0,19.0,50.89615931721195,-3.0,37.9665198162989,,Titus&apos; past catches up with him.,"In the only Titus-perspective scene of the book, Ellie reveals a memory, gesture, or contradiction that should not be possible. The moment leaves Titus with the terrible understand…"
